City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Ixtapa,MX,81.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
219,Marau,BR,71.92,clear sky,-28.4492,-52.2,Hotel Pousada Tordilho Negro
220,Calafell,ES,76.77,scattered clouds,41.2,1.5683,Hotel Kursaal Calafell Playa
221,Katiola,CI,84.72,scattered clouds,8.1333,-5.1,Auberge Residence Yebin
224,Itarema,BR,85.98,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
225,Hambantota,LK,80.92,overcast clouds,6.1241,81.1185,Bungalow 63
227,Alappuzha,IN,80.53,few clouds,9.49,76.3264,Panoramic Sea Resort
229,Oistins,BB,86.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
231,Mayo,US,86.34,clear sky,38.8876,-76.5119,Resorts Resource Group International
232,Magway,MM,86.0,scattered clouds,20.15,94.9167,Htein Htein Thar 2
234,Ternate,ID,81.34,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
235,Lao Cai,VN,78.03,overcast clouds,22.4833,103.95,Legend Hotel
236,Chandvad,IN,75.43,scattered clouds,20.3333,74.25,Hotel nisarg & lodging
238,Bambanglipuro,ID,76.77,scattered clouds,-7.95,110.2833,Puri Brata
241,Bongouanou,CI,79.41,light rain,6.6486,-4.1992,Résidence KABRAN EHIA ELISABETH
244,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
248,Vilhena,BR,88.75,scattered clouds,-12.7406,-60.1458,Hotel Mirage
249,Moerai,PF,77.52,broken clouds,-22.4333,-151.3333,Le Manotel
252,Tamandare,BR,80.38,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
253,Tuy Hoa,VN,78.24,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
256,Takoradi,GH,82.27,broken clouds,4.8845,-1.7554,Raybow International Hotel
264,Beihai,CN,83.91,broken clouds,21.4833,109.1,21 Degree Hostel
265,Matara,LK,79.27,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
266,Tecpan,GT,72.36,broken clouds,14.7623,-90.9947,San Ricardo Restaurante y Hotel
267,Ambilobe,MG,71.29,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
269,Biak,ID,76.39,scattered clouds,-0.9131,122.8766,Penginapan Kim
270,Jiguani,CU,87.58,scattered clouds,20.3667,-76.4272,
271,Sturgis,US,71.31,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
272,Sibu,MY,74.73,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
276,Bluefields,NI,83.37,overcast clouds,12.0137,-83.7635,Flamingo Hotel and Casino
277,Makakilo City,US,77.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
279,Padang,ID,77.5,light rain,-0.9492,100.3543,Mercure Padang
281,Lorengau,PG,78.46,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
282,Corn Island,NI,82.31,overcast clouds,12.1694,-83.0418,Big Fish Guest House
286,Southbridge,US,80.98,scattered clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
292,Makat,KZ,85.3,overcast clouds,47.6469,53.3463,Umit
294,Tatawin,TN,82.54,broken clouds,32.9297,10.4518,Sangho Privilege Tataouine
